,标识符,机型,始发地,出发,到达
1069,CSN3748,B738,Kunming Changshui Int'l (KMG / ZPPP),Mon 09:30PM CST,Mon 10:59PM CST
1070,CSN3738,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 08:42PM CST,Mon 10:50PM CST
1071,CJX6646,B738,Lianyungang (LYG / ZSLG),Mon 08:16PM CST,Mon 10:35PM CST
1072,CSN3882,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Mon 08:20PM CST,Mon 10:28PM CST
1073,CSN6387,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Mon 06:41PM CST,Mon 10:23PM CST
1074,CSZ8307,A320,Xiangfan (XFN / ZHXF),Mon 08:23PM CST,Mon 10:14PM CST
1075,CSN3756,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 07:38PM CST,Mon 10:08PM CST
1076,CSZ8307,A320,Xiangfan (XFN / ZHXF),Mon 08:23PM CST,Mon 10:14PM CST
1077,CSN3756,B738,Shanghai Pudong Int'l (PVG / ZSPD),Mon 07:38PM CST,Mon 10:08PM CST
1078,CBG8868,A320,Handan (HDG / ZBHD),Mon 07:44PM CST,Mon 09:56PM CST
1079,CGN8303,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Mon 07:26PM CST,Mon 09:39PM CST
1080,CSC8152,A320,Changzhou Benniu (CZX / ZSCG),Mon 07:17PM CST,Mon 09:33PM CST
1081,EPA6306,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 07:03PM CST,Mon 09:09PM CST
1082,CDG8873,B738,Nanchang Changbei Int'l (KHN / ZSCN),Mon 07:34PM CST,Mon 09:06PM CST
1083,CHB6243,A320,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Mon 06:47PM CST,Mon 09:00PM CST
1084,CSN3760,B738,Haikou Meilan Int'l (HAK / ZJHK),Mon 08:06PM CST,Mon 08:56PM CST
1085,YZR7542,B738,Huangyan Luqiao (HYN / ZSLQ),Mon 06:48PM CST,Mon 08:53PM CST
1086,CCA4391,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Mon 07:00PM CST,Mon 08:49PM CST
1087,CCA8217,A320,Wuhan Tianhe (WUH / ZHHH),Mon 07:03PM CST,Mon 08:45PM CST
