,标识符,机型,始发地,出发,到达
1065,CLX4944,B744,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 11:35AM +07,Fri 02:46PM HKT
1066,CPA2097,B748,Anchorage Intl (PANC),Thu 11:18AM AKST,Fri 03:13PM HKT
1067,SOO237,B77L,Incheon Int'l (ICN / RKSI),Fri 12:42PM KST,Fri 03:11PM HKT
1068,MAS6012,A332,Kota Kinabalu Int'l (BKI / WBKK),Fri 12:46PM +08,Fri 03:07PM HKT
1069,UPS62,B748,Anchorage Intl (PANC),Thu 10:54AM AKST,Fri 02:58PM HKT
1070,CPA495,A35K,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 01:23PM CST,Fri 02:49PM HKT
1071,CLX4944,B744,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 11:35AM +07,Fri 02:46PM HKT
1072,CAL935,B738,Kaohsiung Int'l (KHH / RCKH),Fri 01:33PM CST,Fri 02:46PM HKT
1073,CPA3259,B748,Shanghai Pudong Int'l (PVG / ZSPD),Fri 12:35PM CST,Fri 02:41PM HKT
1074,CPA922,A359,Mactan-Cebu Int'l (CEB / RPVM),Fri 12:24PM PST,Fri 02:31PM HKT
1075,UAL2853,B77W,Guam Intl (PGUM),Fri 12:20PM ChST,Fri 02:29PM HKT
1076,CPA766,A359,Tan Son Nhat Int'l (SGN / VVTS),Fri 11:21AM +07,Fri 02:17PM HKT
1077,UAE9282,B772,Dubai Int'l (DXB / OMDB),Fri 03:43AM +04,Fri 02:02PM HKT
1078,BOX590,B77L,Narita Int'l (NRT / RJAA),Fri 10:16AM JST,Fri 01:54PM HKT
1079,BOX510,B77L,Leipzig/Halle (LEJ / EDDP),Thu 08:34PM CET,Fri 01:44PM HKT
1080,UAE9282,B772,Dubai Int'l (DXB / OMDB),Fri 03:43AM +04,Fri 02:02PM HKT
1081,BOX590,B77L,Narita Int'l (NRT / RJAA),Fri 10:16AM JST,Fri 01:54PM HKT
1082,BOX510,B77L,Leipzig/Halle (LEJ / EDDP),Thu 08:34PM CET,Fri 01:44PM HKT
1083,CPA421,A35K,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 12:17PM CST,Fri 01:41PM HKT
1084,AJX1929,B788,Narita Int'l (NRT / RJAA),Fri 10:00AM JST,Fri 01:38PM HKT
1085,CPA5,B744,Taiwan Taoyuan Int'l (TPE / RCTP),Fri 12:15PM CST,Fri 01:35PM HKT
1086,HKC332,A332,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 10:21AM +07,Fri 01:28PM HKT
1087,HFM711,A343,Indira Gandhi Int'l (DEL / VIDP),Fri 06:20AM IST,Fri 01:18PM HKT
1088,AAL9730,B77W,Narita Int'l (NRT / RJAA),Fri 09:22AM JST,Fri 01:15PM HKT
