,标识符,机型,始发地,出发,到达
156,CES2984,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Sun 04:06PM CST,Sun 05:46PM CST
157,CSZ9350,A320,Harbin Taiping Int'l (HRB / ZYHB),Sun 02:57PM CST,Sun 05:42PM CST
158,CSC8107,A320,Kunming Changshui Int'l (KMG / ZPPP),Sun 03:06PM CST,Sun 05:20PM CST
159,CSZ8734,A320,Changchun Longjia Int'l (CGQ / ZYCC),Sun 02:39PM CST,Sun 05:05PM CST
160,CSC8593,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sun 02:02PM CST,Sun 03:42PM CST
161,CES9782,A320,Taiyuan Wusu (TYN / ZBYN),Sun 12:25PM CST,Sun 02:06PM CST
162,CSC8325,A320,Harbin Taiping Int'l (HRB / ZYHB),Sun 11:17AM CST,Sun 01:56PM CST
163,CQH6173,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Sun 10:38AM CST,Sun 12:38PM CST
164,CES2972,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Sun 10:54AM CST,Sun 12:35PM CST
165,CES2954,A320,Kunming Changshui Int'l (KMG / ZPPP),Sun 10:12AM CST,Sun 12:32PM CST
166,CSC8055,A320,Nanning Wuxu Int'l (NNG / ZGNN),Sun 10:12AM CST,Sun 12:15PM CST
167,CES2969,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sun 11:47AM CST,02:43PM CST (?)
168,CES2928,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sun 10:03AM CST,Sun 11:23AM CST
169,CSZ9676,A320,Harbin Taiping Int'l (HRB / ZYHB),Sun 08:38AM CST,Sun 11:15AM CST
170,CSZ9651,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 09:08AM CST,Sun 10:48AM CST
171,CSN3899,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 09:03AM CST,Sun 10:44AM CST
172,CSZ8733,A320,Quanzhou Jinjiang (JJN / ZSQZ),Sun 08:32AM CST,Sun 09:47AM CST
173,CSZ9931,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sun 07:29AM CST,Sun 09:13AM CST
174,CSZ9349,A320,Haikou Meilan Int'l (HAK / ZJHK),Sun 06:50AM CST,Sun 09:03AM CST
175,CES2904,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sat 10:55PM CST,Sun 12:31AM CST
176,CES2952,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sat 09:03PM CST,Sat 10:43PM CST
177,CES2904,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sat 10:55PM CST,Sun 12:31AM CST
178,CES2952,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sat 09:03PM CST,Sat 10:43PM CST
179,CSN6469,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sat 08:12PM CST,Sat 09:53PM CST
180,CSC8108,A320,Qingdao Liuting Int'l (TAO / ZSQD),Sat 08:46PM CST,Sat 09:42PM CST
181,CSZ8967,B739,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sat 07:33PM CST,Sat 09:16PM CST
182,CSC8432,A320,Haikou Meilan Int'l (HAK / ZJHK),Sat 06:41PM CST,Sat 08:50PM CST
183,CES2948,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sat 07:09PM CST,Sat 08:45PM CST
184,CES9763,A320,Kunming Changshui Int'l (KMG / ZPPP),Sat 06:32PM CST,Sat 08:40PM CST
185,CGZ7145,E190,Guiyang Longdongbao (KWE / ZUGY),Sat 06:20PM CST,Sat 08:07PM CST
186,CSN3351,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sat 06:21PM CST,Sat 08:02PM CST
187,CSZ9675,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sat 05:47PM CST,Sat 07:24PM CST
188,CSC8326,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Sat 05:35PM CST,Sat 06:41PM CST
189,CES2914,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sat 05:12PM CST,Sat 06:32PM CST
190,CES2984,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Sat 04:50PM CST,Sat 06:29PM CST
191,CQH6174,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Sat 04:52PM CST,Sat 06:26PM CST
192,CSZ9652,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Sat 04:09PM CST,Sat 06:10PM CST
193,CSZ9350,A320,Harbin Taiping Int'l (HRB / ZYHB),Sat 02:58PM CST,Sat 05:36PM CST
194,CES9764,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Sat 03:48PM CST,Sat 05:18PM CST
195,CES9764,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Sat 03:48PM CST,Sat 05:18PM CST
196,CSC8107,A320,Kunming Changshui Int'l (KMG / ZPPP),Sat 03:08PM CST,Sat 05:15PM CST
197,CSC8151,A320,Zhuhai Int'l (ZUH / ZGSD),Sat 03:24PM CST,Sat 05:07PM CST
198,CSZ8734,A320,Changchun Longjia Int'l (CGQ / ZYCC),Sat 02:35PM CST,Sat 05:01PM CST
199,CSN3637,E190,Ganzhou Huangjin (KOW / ZSGZ),Sat 03:32PM CST,Sat 04:48PM CST
200,CDG8016,B738,Guiyang Longdongbao (KWE / ZUGY),Sat 01:24PM CST,Sat 03:07PM CST
201,CES9782,A320,Taiyuan Wusu (TYN / ZBYN),Sat 12:21PM CST,Sat 01:57PM CST
202,CSC8325,A320,Harbin Taiping Int'l (HRB / ZYHB),Sat 11:19AM CST,Sat 01:51PM CST
203,CSC8593,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sat 11:46AM CST,Sat 01:23PM CST
204,CES2972,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Sat 11:01AM CST,Sat 12:47PM CST
205,CES2762,A320,Beijing Daxing International Airport (PKX / ZBAD),Sat 11:16AM CST,Sat 12:44PM CST
206,CES2969,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sat 10:57AM CST,Sat 12:39PM CST
207,CES2954,A320,Kunming Changshui Int'l (KMG / ZPPP),Sat 10:23AM CST,Sat 12:36PM CST
208,CQH6173,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Sat 10:24AM CST,Sat 12:20PM CST
209,CES2928,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sat 10:05AM CST,Sat 11:29AM CST
210,CSC8055,A320,Nanning Wuxu Int'l (NNG / ZGNN),Sat 09:26AM CST,Sat 11:25AM CST
211,CSZ9676,A320,Harbin Taiping Int'l (HRB / ZYHB),Sat 08:30AM CST,Sat 11:17AM CST
212,CDC8115,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Sat 09:21AM CST,Sat 11:03AM CST
213,CDC8115,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Sat 09:21AM CST,Sat 11:03AM CST
214,CSZ9651,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sat 09:10AM CST,Sat 10:49AM CST
215,CSN3899,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Sat 09:04AM CST,Sat 10:45AM CST
216,CCA4589,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Sat 08:06AM CST,Sat 10:00AM CST
217,CSZ8733,A320,Quanzhou Jinjiang (JJN / ZSQZ),Sat 08:32AM CST,Sat 09:54AM CST
218,CES9695,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Sat 07:57AM CST,Sat 09:51AM CST
219,CSZ9931,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Sat 07:43AM CST,Sat 09:29AM CST
220,CSZ9349,A320,Haikou Meilan Int'l (HAK / ZJHK),Sat 06:51AM CST,Sat 09:03AM CST
221,CDG8015,B738,Qingdao Liuting Int'l (TAO / ZSQD),Sat 07:30AM CST,Sat 08:31AM CST
222,CES2904,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Fri 10:53PM CST,Sat 12:24AM CST
223,CES2952,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 09:08PM CST,Fri 10:49PM CST
224,CSZ8967,B739,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 08:38PM CST,Fri 10:23PM CST
225,CSN6469,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 08:20PM CST,Fri 09:59PM CST
226,CSC8108,A320,Qingdao Liuting Int'l (TAO / ZSQD),Fri 08:46PM CST,Fri 09:43PM CST
227,CSC8432,A320,Haikou Meilan Int'l (HAK / ZJHK),Fri 07:09PM CST,Fri 09:25PM CST
228,CES2920,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Fri 06:52PM CST,Fri 08:47PM CST
229,CES2948,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 07:00PM CST,Fri 08:44PM CST
230,CES2920,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Fri 06:52PM CST,Fri 08:47PM CST
231,CES2948,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 07:00PM CST,Fri 08:44PM CST
232,CGZ7145,E190,Guiyang Longdongbao (KWE / ZUGY),Fri 06:44PM CST,Fri 08:40PM CST
233,CSN3351,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 06:29PM CST,Fri 08:07PM CST
234,CSZ9675,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 05:57PM CST,Fri 07:42PM CST
235,CQH6396,A320,Kansai Int'l (KIX / RJBB),Fri 05:41PM JST,Fri 07:23PM CST
236,CCA1825,A321,Beijing Capital Int'l (PEK / ZBAA),Fri 05:43PM CST,Fri 07:12PM CST
237,CES2984,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Fri 05:19PM CST,Fri 06:59PM CST
238,CSC8326,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Fri 05:28PM CST,Fri 06:33PM CST
239,CES2914,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 05:11PM CST,Fri 06:29PM CST
