,标识符,机型,始发地,出发,到达
2311,CES5102,A333,Beijing Capital Int'l (PEK / ZBAA),Fri 08:15AM CST,Fri 10:00AM CST
2312,CSH9460,B738,Guiyang Longdongbao (KWE / ZUGY),Fri 08:02AM CST,Fri 09:56AM CST
2313,CES2501,B732,Wuhan Tianhe (WUH / ZHHH),Fri 08:49AM CST,Fri 09:55AM CST
2314,CQH8956,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 08:19AM CST,Fri 09:53AM CST
2315,CSN3523,B77W,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 08:22AM CST,Fri 09:50AM CST
2316,CSN3965,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 08:13AM CST,Fri 09:45AM CST
2317,CCA1533,B738,Tianjin Binhai Int'l (TSN / ZBTJ),Fri 08:19AM CST,Fri 09:42AM CST
2318,CXA8573,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Fri 08:45AM CST,Fri 09:40AM CST
2319,CCA1831,B77W,Beijing Capital Int'l (PEK / ZBAA),Fri 07:51AM CST,Fri 09:35AM CST
2320,CDG2305,B738,Jinan Yaoqiang (TNA / ZSJN),Fri 08:14AM CST,Fri 09:32AM CST
2321,CCA4543,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Fri 07:47AM CST,Fri 09:28AM CST
2322,DKH1152,B789,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 07:53AM CST,Fri 09:27AM CST
2323,CSN3625,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 07:49AM CST,Fri 09:23AM CST
2324,DKH1144,A320,Guiyang Longdongbao (KWE / ZUGY),Fri 07:30AM CST,Fri 09:23AM CST
2325,CUA5737,737,Beijing Daxing International Airport (PKX / ZBAD),Fri 07:46AM CST,Fri 09:19AM CST
2326,CES5514,A320,Qingdao Liuting Int'l (TAO / ZSQD),Fri 08:03AM CST,Fri 09:17AM CST
2327,CHH7605,B789,Beijing Capital Int'l (PEK / ZBAA),Fri 07:17AM CST,Fri 08:59AM CST
2328,CQH8930,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 07:20AM CST,Fri 08:57AM CST
2329,CQH8930,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 07:20AM CST,Fri 08:57AM CST
2330,CDG4941,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 07:50AM CST,Fri 08:57AM CST
2331,CSN3533,B789,Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 07:19AM CST,Fri 08:52AM CST
2332,CDG4661,B738,Qingdao Liuting Int'l (TAO / ZSQD),Fri 07:36AM CST,Fri 08:48AM CST
2333,CES5100,A321,Beijing Capital Int'l (PEK / ZBAA),Fri 07:06AM CST,Fri 08:46AM CST
2334,CUA2217,737,Tianjin Binhai Int'l (TSN / ZBTJ),Fri 07:05AM CST,Fri 08:35AM CST
2335,CXA8583,B738,Changsha Huanghua Int'l (CSX / ZGHA),Fri 07:13AM CST,Fri 08:33AM CST
2336,CES2239,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Fri 06:44AM CST,Fri 08:31AM CST
2337,CSN3568,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Fri 06:51AM CST,Fri 08:27AM CST
2338,CES5516,A321,Qingdao Liuting Int'l (TAO / ZSQD),Fri 07:16AM CST,Fri 08:23AM CST
2339,CXA8501,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Fri 07:14AM CST,Fri 08:22AM CST
2340,CES5422,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Fri 06:34AM CST,Fri 08:22AM CST
2341,CES9694,B732,Taiyuan Wusu (TYN / ZBYN),Fri 06:29AM CST,Fri 08:10AM CST
2342,DKH1244,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Fri 06:17AM CST,Fri 07:57AM CST
2343,CQH8932,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 10:47PM CST,Fri 12:20AM CST
2344,DKH1156,B789,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 10:40PM CST,Fri 12:12AM CST
2345,DKH1158,A321,Zhuhai Int'l (ZUH / ZGSD),Thu 10:22PM CST,Fri 12:02AM CST
2346,CES5320,A359,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 10:24PM CST,Fri 12:00AM CST
2347,CES5320,A359,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 10:24PM CST,Fri 12:00AM CST
2348,CSH9338,B738,Nanning Wuxu Int'l (NNG / ZGNN),Thu 09:47PM CST,Thu 11:50PM CST
