,标识符,机型,始发地,出发,到达
2971,CHH7138,A333,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 10:05AM CST,Thu 12:01PM CST
2972,CCA1854,B738,Ningbo Lishe Int'l (NGB / ZSNB),Thu 09:44AM CST,Thu 12:00PM CST
2973,CCA4101,A333,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 09:22AM CST,Thu 11:58AM CST
2974,CHH7108,B738,Yan'an (ENY / ZLYA),Thu 10:13AM CST,Thu 11:56AM CST
2975,CCA1614,B738,Yanji Chaoyangchuan (YNJ / ZYYJ),Thu 09:55AM CST,Thu 11:55AM CST
2976,CCA1880,A320,Yiwu (YIW / ZSYW),Thu 09:41AM CST,Thu 11:53AM CST
2977,CES5153,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 09:47AM CST,Thu 11:53AM CST
2978,CSZ9152,B738,Xiangfan (XFN / ZHXF),Thu 10:11AM CST,Thu 11:50AM CST
2979,KNA8269,B738,Kunming Changshui Int'l (KMG / ZPPP),Thu 08:31AM CST,Thu 11:49AM CST
2980,CCA1306,B773,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 09:06AM CST,Thu 11:47AM CST
2981,CHH7618,B738,Wuhai (WUA / ZBUH),Thu 10:18AM CST,Thu 11:43AM CST
2982,CCA1808,A321,Fuzhou Changle Int'l (FOC / ZSFZ),Thu 09:06AM CST,Thu 11:39AM CST
2983,CCA1278,B738,Lanzhou Zhongchuan International (LHW / ZLLL),Thu 09:47AM CST,Thu 11:39AM CST
2984,CSZ9158,B738,Wuxi (WUX / ZSWX),Thu 09:37AM CST,Thu 11:33AM CST
2985,CCA1711,A333,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 09:34AM CST,Thu 11:32AM CST
2986,CCA4127,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 09:17AM CST,Thu 11:26AM CST
2987,CCA1284,B738,Ulanhot (HLH / ZBUL),Thu 09:50AM CST,Thu 11:26AM CST
2988,CHH7181,B789,Haikou Meilan Int'l (HAK / ZJHK),Thu 08:27AM CST,Thu 11:26AM CST
2989,CHH7804,A333,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 08:46AM CST,Thu 11:25AM CST
2990,CJX8887,B738,Nanchang Changbei Int'l (KHN / ZSCN),Thu 09:15AM CST,Thu 11:20AM CST
2991,CES5701,B738,Kunming Changshui Int'l (KMG / ZPPP),Thu 08:06AM CST,Thu 11:20AM CST
2992,CCA1310,A332,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 08:37AM CST,Thu 11:16AM CST
2993,CES5103,B773,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 09:20AM CST,Thu 11:12AM CST
2994,CES2103,A333,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 09:10AM CST,Thu 11:09AM CST
2995,CCA1350,B738,Changsha Huanghua Int'l (CSX / ZGHA),Thu 08:58AM CST,Thu 11:04AM CST
2996,CES2103,A333,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 09:10AM CST,Thu 11:09AM CST
2997,CCA1350,B738,Changsha Huanghua Int'l (CSX / ZGHA),Thu 08:58AM CST,Thu 11:04AM CST
2998,CCA1638,B737,Tonghua Liuhe (TNH / ZYTN),Thu 09:26AM CST,Thu 11:01AM CST
2999,CCA1846,A321,Hefei Xinqiao Airport (HFE / ZSOF),Thu 09:29AM CST,Thu 11:00AM CST
3000,CCA1602,A321,Shenyang Taoxian Int'l (SHE / ZYTX),Thu 09:45AM CST,Thu 11:00AM CST
3001,CCA1590,B773,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 08:57AM CST,Thu 10:55AM CST
3002,CCA1218,B738,Yinchuan Helanshan (INC / ZLIC),Thu 09:18AM CST,Thu 10:54AM CST
3003,CCA1540,B738,Wenzhou Int'l (WNZ / ZSWZ),Thu 08:35AM CST,Thu 10:54AM CST
3004,CES5151,A321,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 08:52AM CST,Thu 10:53AM CST
3005,CCA1820,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Thu 09:06AM CST,Thu 10:46AM CST
3006,AAL9734,B789,Incheon Int'l (ICN / RKSI),Thu 11:45AM KST,12:43PM CST (?)
3007,CCA4129,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 08:41AM CST,Thu 10:43AM CST
3008,CHH7604,B738,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 08:46AM CST,Thu 10:41AM CST
3009,CHH7104,B738,Dalian Zhoushuizi Int'l (DLC / ZYTL),Thu 09:29AM CST,Thu 10:40AM CST
3010,CCA1206,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 08:41AM CST,Thu 10:40AM CST
3011,CCA1802,A321,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 08:04AM CST,Thu 10:37AM CST
3012,CSZ9101,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 07:49AM CST,Thu 10:35AM CST
3013,CCA1802,A321,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 08:04AM CST,Thu 10:37AM CST
3014,CSZ9101,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 07:49AM CST,Thu 10:35AM CST
3015,CCA1640,B738,Harbin Taiping Int'l (HRB / ZYHB),Thu 08:52AM CST,Thu 10:33AM CST
3016,CCA4161,A320,Guiyang Longdongbao (KWE / ZUGY),Thu 07:54AM CST,Thu 10:30AM CST
3017,CCA1386,B738,Shiyan Wudangshan (WDS / ZHSY),Thu 08:34AM CST,Thu 10:27AM CST
3018,CHH7710,A330,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 07:46AM CST,Thu 10:27AM CST
3019,CCA1703,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 08:22AM CST,Thu 10:24AM CST
3020,CES5101,B773,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 08:19AM CST,Thu 10:18AM CST
3021,CDG4604,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 07:47AM CST,Thu 10:17AM CST
3022,CCA1662,A321,Changchun Longjia Int'l (CGQ / ZYCC),Thu 08:26AM CST,Thu 10:03AM CST
3023,CCA1822,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Thu 07:28AM CST,Thu 10:03AM CST
3024,CCA1582,A321,Nanchang Changbei Int'l (KHN / ZSCN),Thu 07:56AM CST,Thu 10:00AM CST
3025,CCA1858,A330,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 07:59AM CST,Thu 09:56AM CST
3026,CCA4171,A320,Kunming Changshui Int'l (KMG / ZPPP),Thu 06:37AM CST,Thu 09:56AM CST
3027,CCA1146,A319,Taiyuan Wusu (TYN / ZBYN),Thu 09:00AM CST,Thu 09:53AM CST
3028,CHH7478,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 07:49AM CST,Thu 09:49AM CST
3029,CDG4655,B738,Qingdao Liuting Int'l (TAO / ZSQD),Thu 08:30AM CST,Thu 09:47AM CST
3030,CES2101,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 07:52AM CST,Thu 09:46AM CST
3031,CES2101,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 07:52AM CST,Thu 09:46AM CST
3032,CES5177,A321,Ningbo Lishe Int'l (NGB / ZSNB),Thu 07:28AM CST,Thu 09:42AM CST
3033,CCA8201,A320,Wuhan Tianhe (WUH / ZHHH),Thu 07:54AM CST,Thu 09:39AM CST
3034,CCA1110,RJ85,Xilinhot (XIL / ZBXH),Thu 08:41AM CST,Thu 09:38AM CST
3035,CES2731,A321,Wuxi (WUX / ZSWX),Thu 07:33AM CST,Thu 09:25AM CST
3036,CES5099,B773,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 07:26AM CST,Thu 09:21AM CST
3037,CCA4393,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 06:36AM CST,Thu 09:20AM CST
3038,CES5131,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 07:24AM CST,Thu 09:20AM CST
3039,CCA1526,B738,Qingdao Liuting Int'l (TAO / ZSQD),Thu 07:54AM CST,Thu 09:15AM CST
3040,CDG1155,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 07:03AM CST,Thu 09:08AM CST
3041,CHH7616,B738,Shanghai Pudong Int'l (PVG / ZSPD),Thu 07:10AM CST,Thu 09:07AM CST
3042,CCA1701,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 07:00AM CST,Thu 09:02AM CST
3043,CSH9405,B738,Yinchuan Helanshan (INC / ZLIC),Thu 07:09AM CST,Thu 08:48AM CST
3044,CSC8829,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 06:33AM CST,Thu 08:38AM CST
3045,CDG4651,B738,Qingdao Liuting Int'l (TAO / ZSQD),Thu 07:01AM CST,Thu 08:26AM CST
3046,CDG4851,B738,Penglai International (YNT / ZSYT),Thu 07:29AM CST,Thu 08:25AM CST
3047,ETD9877,B789,Abu Dhabi Int'l (AUH / OMAA),Wed 09:12PM +04,Thu 07:56AM CST
3048,CDG4851,B738,Penglai International (YNT / ZSYT),Thu 07:29AM CST,Thu 08:25AM CST
3049,ETD9877,B789,Abu Dhabi Int'l (AUH / OMAA),Wed 09:12PM +04,Thu 07:56AM CST
3050,CSS6946,B763,Wuxi (WUX / ZSWX),Thu 05:19AM CST,Thu 07:03AM CST
3051,CSS6914,B763,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 04:50AM CST,Thu 06:43AM CST
3052,CSS6851,B752,Shanghai Pudong Int'l (PVG / ZSPD),Thu 04:10AM CST,05:55AM CST (?)
3053,CCA1326,B738,Kunming Changshui Int'l (KMG / ZPPP),Wed 10:32PM CST,Thu 01:45AM CST
3054,CHH7702,A333,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 10:41PM CST,Thu 01:18AM CST
3055,CHH7166,B738,Yulin (UYN / ZLYL),Wed 11:59PM CST,Thu 01:15AM CST
3056,CCA1494,A321,Guiyang Longdongbao (KWE / ZUGY),Wed 10:42PM CST,Thu 01:13AM CST
3057,CHH7292,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 10:45PM CST,Thu 01:10AM CST
3058,CCA8682,B732,Mianyang Nanjiao (MIG / ZUMY),Wed 10:39PM CST,Thu 01:07AM CST
