,标识符,机型,始发地,出发,到达
203,AMU51,A320,Jieyang Chaoshan International Airport (SWA / ZGOW),Mon 10:24AM CST,Mon 11:10AM CST
204,CXA893,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Mon 09:31AM CST,Mon 10:56AM CST
205,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Sun 08:23PM CST,Sun 11:37PM CST
206,QTR8911,B772,Hamad Int'l (DOH / OTHH),Sun 11:17AM +03,Sun 10:59PM CST
207,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Sun 09:37PM CST,Sun 10:37PM CST
208,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Sun 08:26PM CST,Sun 10:33PM CST
209,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Sun 06:37PM CST,Sun 08:08PM CST
210,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sun 05:32PM CST,Sun 07:51PM CST
211,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Sun 04:30PM CST,Sun 07:44PM CST
212,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Sun 08:26PM CST,Sun 10:33PM CST
213,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Sun 06:37PM CST,Sun 08:08PM CST
214,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sun 05:32PM CST,Sun 07:51PM CST
215,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Sun 04:30PM CST,Sun 07:44PM CST
216,AMU257,A320,Wenzhou Int'l (WNZ / ZSWZ),Sun 05:26PM CST,Sun 07:02PM CST
217,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Sun 04:12PM CST,Sun 06:11PM CST
218,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Sun 03:43PM CST,Sun 05:41PM CST
219,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sun 02:41PM CST,Sun 05:01PM CST
220,CXA8659,B738,Quanzhou Jinjiang (JJN / ZSQZ),Sun 03:08PM CST,Sun 04:23PM CST
221,CXA841,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Sun 01:47PM CST,Sun 03:52PM CST
222,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Sun 12:43PM CST,Sun 03:12PM CST
223,AMU181,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Sun 12:57PM CST,Sun 02:37PM CST
