,标识符,机型,始发地,出发,到达
4527,CHH7811,A333,Beijing Capital Int'l (PEK / ZBAA),Wed 07:33PM CST,Wed 10:30PM CST
4528,CSN3932,A319,Zunyi (ZYI / ZUZY),Wed 09:14PM CST,Wed 10:29PM CST
4529,CSN8228,A320,Dehong Mangshi (LUM / ZPMS),Wed 08:33PM CST,Wed 10:28PM CST
4530,CSN3314,A320,Zunyi Maotai Airport (WMT / ZUMT),Wed 09:06PM CST,Wed 10:26PM CST
4531,CSN3914,A320,Yuncheng (YCU / ZBYC),Wed 08:20PM CST,Wed 10:26PM CST
4532,CES2284,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 08:13PM CST,Wed 10:24PM CST
4533,CSN3430,A320,Nanchong (NAO / ZUNC),Wed 08:51PM CST,Wed 10:23PM CST
4534,CSN3971,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Wed 08:25PM CST,Wed 10:22PM CST
4535,CSN6736,B738,Guiyang Longdongbao (KWE / ZUGY),Wed 09:12PM CST,Wed 10:21PM CST
4536,CSN6779,A321,Haikou Meilan Int'l (HAK / ZJHK),Wed 09:35PM CST,Wed 10:19PM CST
4537,CSN6497,B738,Guiyang Longdongbao (KWE / ZUGY),Wed 09:10PM CST,Wed 10:18PM CST
4538,CSN3258,A319,Xuzhou (XUZ / ZSXZ),Wed 08:09PM CST,Wed 10:16PM CST
4539,CSN3830,A21N,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 08:32PM CST,Wed 10:16PM CST
4540,CSN3504,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:19PM CST,Wed 10:14PM CST
4541,CSN3830,A21N,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 08:32PM CST,Wed 10:16PM CST
4542,CSN3504,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:19PM CST,Wed 10:14PM CST
4543,CSC8794,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 08:48PM CST,Wed 10:14PM CST
4544,CCA1379,B773,Beijing Capital Int'l (PEK / ZBAA),Wed 07:13PM CST,Wed 10:12PM CST
4545,CCA1830,B738,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 08:08PM CST,Wed 10:12PM CST
4546,JYH1112,B738,Sanya Phoenix Int'l (SYX / ZJSY),Wed 09:23PM CST,Wed 10:10PM CST
4547,CHB6205,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 08:43PM CST,Wed 10:10PM CST
4548,CSZ9976,A320,Jinan Yaoqiang (TNA / ZSJN),Wed 07:30PM CST,Wed 10:09PM CST
4549,CCA4458,B738,Beijing Daxing International Airport (PKX / ZBAD),Wed 07:16PM CST,Wed 10:08PM CST
4550,CSN3508,A330,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 08:21PM CST,Wed 10:07PM CST
4551,CES9985,737,Taiyuan Wusu (TYN / ZBYN),Wed 07:39PM CST,Wed 10:05PM CST
4552,CSN3810,B738,Wenzhou Int'l (WNZ / ZSWZ),Wed 08:32PM CST,Wed 10:04PM CST
4553,CCA8181,B738,Beijing Daxing International Airport (PKX / ZBAD),Wed 07:10PM CST,Wed 10:01PM CST
4554,CSN3176,A321,Hohhot Baita Int'l (HET / ZBHH),Wed 07:15PM CST,Wed 10:01PM CST
4555,FDX6091,B763,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Wed 09:00PM +07,12:19AM CST (+1) (?)
4556,CHH7740,A330,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Wed 07:59PM CST,Wed 09:56PM CST
4557,CQH6661,A320,Ningbo Lishe Int'l (NGB / ZSNB),Wed 08:05PM CST,Wed 09:55PM CST
4558,CSN3712,A21N,Jinan Yaoqiang (TNA / ZSJN),Wed 07:21PM CST,Wed 09:53PM CST
4559,CSN3246,A320,Dayong (DYG / ZGDY),Wed 08:36PM CST,Wed 09:53PM CST
4560,CCA4455,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 08:23PM CST,Wed 09:52PM CST
4561,CHB6382,A320,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Wed 07:50PM CST,Wed 09:51PM CST
4562,FDX5199,B763,Kansai Int'l (KIX / RJBB),Wed 10:49PM JST,01:54AM CST (+1) (?)
4563,CES2907,A321,Wuxi (WUX / ZSWX),Wed 07:36PM CST,Wed 09:47PM CST
4564,FDX9087,B763,Kansai Int'l (KIX / RJBB),Wed 10:47PM JST,01:37AM CST (+1) (?)
4565,CSZ9684,B738,Nantong (NTG / ZSNT),Wed 07:30PM CST,Wed 09:45PM CST
4566,CSN3520,A21N,Qingdao Liuting Int'l (TAO / ZSQD),Wed 06:48PM CST,Wed 09:45PM CST
4567,CSN3418,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 07:46PM CST,Wed 09:43PM CST
4568,CSZ9968,B738,Huangyan Luqiao (HYN / ZSLQ),Wed 07:56PM CST,Wed 09:43PM CST
