,标识符,机型,始发地,出发,到达
2024,CES2774,A320,Nanning Wuxu Int'l (NNG / ZGNN),Wed 04:58PM CST,Wed 07:02PM CST
2025,CSN6641,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 04:59PM CST,Wed 06:58PM CST
2026,CSN6668,A21N,Changchun Longjia Int'l (CGQ / ZYCC),Wed 04:26PM CST,Wed 06:55PM CST
2027,CSH9432,B738,Jieyang Chaoshan International Airport (SWA / ZGOW),Wed 05:15PM CST,Wed 06:53PM CST
2028,CSN3507,A330,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 05:00PM CST,Wed 06:50PM CST
2029,CQH8743,A320,Dashuipo (WEH / ZSWH),Wed 05:21PM CST,Wed 06:48PM CST
2030,CSZ8717,A320,Quanzhou Jinjiang (JJN / ZSQZ),Wed 05:30PM CST,Wed 06:46PM CST
2031,CSC8541,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 05:04PM CST,Wed 06:44PM CST
2032,CES2746,A320,Kunming Changshui Int'l (KMG / ZPPP),Wed 04:30PM CST,Wed 06:41PM CST
2033,CSZ8140,A320,Changsha Huanghua Int'l (CSX / ZGHA),Wed 05:31PM CST,Wed 06:37PM CST
2034,CES9907,B738,Taiyuan Wusu (TYN / ZBYN),Wed 04:59PM CST,Wed 06:33PM CST
2035,CQH6187,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 04:17PM CST,Wed 06:31PM CST
2036,CSZ9867,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 04:43PM CST,Wed 06:29PM CST
2037,CSN3266,B738,Harbin Taiping Int'l (HRB / ZYHB),Wed 03:45PM CST,Wed 06:26PM CST
2038,CSC8840,A321,Harbin Taiping Int'l (HRB / ZYHB),Wed 03:37PM CST,Wed 06:23PM CST
2039,CSZ9383,B738,Nanning Wuxu Int'l (NNG / ZGNN),Wed 04:22PM CST,Wed 06:21PM CST
2040,CES9774,A320,Qingdao Liuting Int'l (TAO / ZSQD),Wed 05:24PM CST,Wed 06:18PM CST
2041,CDG2350,B738,Qingdao Liuting Int'l (TAO / ZSQD),Wed 05:12PM CST,Wed 06:15PM CST
2042,CDG4922,B738,Penglai International (YNT / ZSYT),Wed 05:03PM CST,Wed 06:12PM CST
2043,CES5877,B738,Luzhou (LZO / ZULZ),Wed 04:06PM CST,Wed 06:09PM CST
2044,CHH7663,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 04:16PM CST,Wed 06:05PM CST
2045,JYH1318,B738,Nanyang (NNY / ZHNY),Wed 04:59PM CST,Wed 06:03PM CST
2046,CES2880,A321,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 04:46PM CST,Wed 06:01PM CST
2047,CES2892,A319,Lianyungang (LYG / ZSLG),Wed 04:54PM CST,Wed 05:56PM CST
2048,CHH7511,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 04:13PM CST,Wed 05:53PM CST
2049,DKH1698,A320,Bijie Feixiong (BFJ / ZUBJ),Wed 04:00PM CST,Wed 05:52PM CST
2050,CXA8057,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 04:43PM CST,Wed 05:49PM CST
2051,CES9792,A320,Sanya Phoenix Int'l (SYX / ZJSY),Wed 03:01PM CST,Wed 05:46PM CST
2052,DKH1728,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Wed 04:03PM CST,Wed 05:45PM CST
2053,CSN6452,A320,Guiyang Longdongbao (KWE / ZUGY),Wed 03:50PM CST,Wed 05:42PM CST
2054,CSC8993,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 03:43PM CST,Wed 05:39PM CST
2055,CES9790,A320,Hohhot Baita Int'l (HET / ZBHH),Wed 03:50PM CST,Wed 05:37PM CST
2056,DKH1726,A320,Anshan (AOG / ZYAS),Wed 03:24PM CST,Wed 05:35PM CST
2057,CES2754,A320,Changsha Huanghua Int'l (CSX / ZGHA),Wed 04:21PM CST,Wed 05:33PM CST
2058,CES2822,A320,Beijing Capital Int'l (PEK / ZBAA),Wed 03:58PM CST,Wed 05:31PM CST
2059,CES7718,A320,Changchun Longjia Int'l (CGQ / ZYCC),Wed 02:58PM CST,Wed 05:28PM CST
2060,CES2760,A320,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Wed 04:22PM CST,Wed 05:26PM CST
2061,CDG8811,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 04:04PM CST,Wed 05:23PM CST
2062,KNA8207,B737,Zunyi Maotai Airport (WMT / ZUMT),Wed 03:35PM CST,Wed 05:21PM CST
2063,JYH1034,B738,Changchun Longjia Int'l (CGQ / ZYCC),Wed 02:50PM CST,Wed 05:18PM CST
